#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-05-23T11:39:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ce68301a8e7	
#INFO	-out.max=unlimited	
#INFO	queryParameters=33	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/738/79&tab:{J/ApJ/738/79/table1}&key:source=J/ApJ/738/79&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/738/79/table1
#-order=I
#-out=RAJ2000
#-out=DEJ2000
#-out=GLON
#-out=GLAT
#-out=gmag
#-out=u-g
#-out=g-r
#-out=D0.2
#-out=fm
#-out=cHg
#-out=bHg
#-out=d
#-out=r
#-out=x
#-out=y
#-out=z
#-out=HRV
#-out=e_HRV
#-out=Vgal
#-out=DR8
#DR8=DR8
#-out=Sloan
#Sloan=Sloan
#-out=SimbadName
#

#RESOURCE=yCat_17380079
#Name: J/ApJ/738/79
#Title: SDSS-DR8 BHB stars in the Milky Way's halo (Xue+, 2011)
#Table	J_ApJ_738_79_table1:
#Name: J/ApJ/738/79/table1
#Title: *List of 4985 blue horizontal-branch (BHB) stars selected from SDSS DR8
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F10.6)	[0.02/359.85] Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F10.6)	[-81.32/88.37] Galactic latitude	[ucd=pos.galactic.lat]
#Column	gmag	(F5.2)	[12.6/20.1] Extinction-corrected g band magnitude	[ucd=phot.mag;em.opt.B]
#Column	u-g	(F5.2)	(u-g) color index after extinction correction	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	g-r	(F5.2)	(g-r) color index after extinction correction	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	D0.2	(F5.2)	H{delta} line width at 20% below local continuum	[ucd=spect.line.width;em.line.Hdelta]
#Column	fm	(F5.2)	H{delta} line flux relative to continuum at line core	[ucd=phot.flux;em.line.Hdelta;spect.line]
#Column	cHg	(F5.2)	The c of H{gamma} line	[ucd=stat.fit.param]
#Column	bHg	(F5.2)	The b of H{gamma} line	[ucd=stat.fit.param]
#Column	d	(F4.1)	[2.3/77.1] Distance to the Sun (1)	[ucd=pos.distance;pos.heliocentric]
#Column	r	(F4.1)	Distance to the Galactic center (1)	[ucd=pos.distance;pos.galactocentric]
#Column	x	(F5.1)	Galactocentric x-position (1)	[ucd=pos.distance;pos.galactocentric]
#Column	y	(F5.1)	Galactocentric y-position (1)	[ucd=pos.distance;pos.galactocentric]
#Column	z	(F5.1)	Galactocentric z-postiion (1)	[ucd=phot.color;pos.galactocentric]
#Column	HRV	(F6.1)	[-476.2/456.4] Heliocentic radial velocity	[ucd=spect.dopplerVeloc]
#Column	e_HRV	(F6.1)	[0.9/22.5] Error in HRV	[ucd=stat.error]
#Column	Vgal	(F6.1)	Galactocentric radial velocity (1)	[ucd=spect.dopplerVeloc;pos.galactocentric]
#Column	DR8	(A3)	Display the SDSS-DR8 photometric catalog (II/306) within 1.5"	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the SDSS online data for this star	[ucd=meta.ref.url]
#Column	SimbadName	(A24)	Simbad column added by the CDS	[ucd=meta.id]
RAJ2000;DEJ2000;GLON;GLAT;gmag;u-g;g-r;D0.2;fm;cHg;bHg;d;r;x;y;z;HRV;e_HRV;Vgal;DR8;Sloan;SimbadName
189.06479;+34.95169;144.541382; 81.529938;17.07; 1.17;-0.17;27.35; 0.23; 0.97;10.09;20.1;22.5; 10.4; -1.7; 19.9;  86.5;   3.4; 111.7;DR8;Sloan;SDSS J123615.54+345706.0
190.12596;+35.25844;138.283554; 81.541382;17.30; 1.23;-0.07;23.72; 0.24; 0.87; 8.04;21.9;24.1; 10.4; -2.1; 21.7;  72.1;   3.4; 100.2;DR8;Sloan;SDSS J124030.23+351530.3
237.88660;+46.69722; 74.257584; 49.751751;17.45; 1.09;-0.21;25.52; 0.23; 1.14; 9.85;23.5;23.4;  3.9;-14.6; 17.9;-198.5;   4.0; -51.2;DR8;Sloan;SDSS J155132.78+464149.9
239.18582;+46.50371; 73.676094; 48.920647;17.64; 1.27;-0.17;27.13; 0.23; 0.94; 9.87;26.1;25.9;  3.2;-16.5; 19.7; -64.2;   3.7;  85.1;DR8;Sloan;SDSS J155644.59+463013.3
240.09689;+46.07679; 72.860611; 48.383636;17.05; 1.20;-0.08;25.99; 0.25; 0.87; 8.36;19.5;19.6;  4.2;-12.4; 14.6;-145.7;   2.7;   4.6;DR8;Sloan;SDSS J160023.25+460436.4
240.44968;+46.71673; 73.738075; 48.027634;17.39; 1.26;-0.08;22.99; 0.21; 0.82; 7.78;23.3;23.2;  3.6;-15.0; 17.3; -16.6;   2.9; 135.2;DR8;Sloan;SDSS J160147.92+464300.2
240.71889;+46.73228; 73.710213; 47.843384;18.66; 1.12;-0.10;23.42; 0.28; 0.76; 7.86;41.8;41.1;  0.1;-26.9; 31.0; -35.0;   3.9; 117.3;DR8;Sloan;SDSS J160252.53+464356.2
191.61989;+34.80639;130.499893; 82.248871;16.81; 1.30;-0.12;22.00; 0.26; 0.78; 7.77;17.9;20.2;  9.6; -1.8; 17.7; -54.4;   2.7; -25.0;DR8;Sloan;SDSS J124628.77+344822.9
192.42065;+35.59947;125.352440; 81.520531;16.19; 1.20;-0.14;25.66; 0.24; 0.93; 9.91;13.5;16.2;  9.1; -1.6; 13.3;   5.5;   2.1;  38.9;DR8;Sloan;SDSS J124940.95+353558.0
237.45354;+46.88743; 74.650497; 49.996628;15.64; 0.98;-0.26;22.59; 0.24; 1.15; 9.03; 9.7;11.5;  6.3; -6.0;  7.5;-272.6;   1.9;-125.8;DR8;Sloan;SDSS J154948.84+465314.7
190.70216;+35.38340;134.975861; 81.542099;17.44; 1.23;-0.15;26.82; 0.23; 0.96;10.10;23.9;26.0; 10.5; -2.5; 23.7; -87.5;   3.6; -58.0;DR8;Sloan;SDSS J124248.51+352300.2
190.79015;+34.80274;135.427582; 82.123680;18.32; 1.22;-0.20;25.78; 0.28; 0.99; 9.67;35.8;37.4; 11.5; -3.4; 35.4;-141.9;   7.7;-114.1;DR8;Sloan;SDSS J124309.63+344809.8
237.15614;+46.39640; 73.979179; 50.309322;18.48; 1.12;-0.20;23.73; 0.24; 0.96; 9.77;37.6;37.0;  1.4;-23.1; 28.9;-210.3;   6.6; -64.8;DR8;Sloan;SDSS J154837.48+462347.1
190.70453;+37.39135;132.437241; 79.577309;16.10; 1.04;-0.26;23.65; 0.23; 1.14; 9.43;12.6;15.7;  9.5; -1.7; 12.4;-224.4;   2.1;-188.5;DR8;Sloan;SDSS J124249.08+372328.8
190.53274;+36.59072;134.126770; 80.334366;17.68; 1.20;-0.04;23.42; 0.25; 0.87; 7.92;26.1;28.2; 11.1; -3.1; 25.7; 146.4;   3.9; 179.5;DR8;Sloan;SDSS J124207.86+363526.6
190.44856;+36.58910;134.521378; 80.321159;16.46; 1.14;-0.20;25.92; 0.22; 1.11; 9.88;14.8;17.7;  9.7; -1.8; 14.6; 241.8;   2.5; 274.7;DR8;Sloan;SDSS J124147.66+363520.7
192.02428;+37.35245;126.666084; 79.751564;17.31; 1.15;-0.19;26.41; 0.21; 1.11;10.34;22.5;24.7; 10.4; -3.2; 22.1;-180.3;   3.7;-142.1;DR8;Sloan;SDSS J124805.82+372108.8
192.51469;+36.22399;124.690765; 80.899551;15.88; 1.20;-0.12;25.28; 0.22; 0.91; 8.92;11.6;14.7;  9.0; -1.5; 11.5; -22.5;   2.1;  13.0;DR8;Sloan;SDSS J125003.52+361326.3
237.06654;+45.36848; 72.425941; 50.596542;16.28; 0.89;-0.29;20.39; 0.25; 1.22; 8.70;12.5;13.5;  5.6; -7.6;  9.7;-182.8;   2.7; -39.0;DR8;Sloan;SDSS J154815.98+452206.5
237.38354;+45.35983; 72.339821; 50.380501;16.69; 1.13;-0.19;26.55; 0.22; 1.04;10.13;16.5;16.9;  4.8;-10.1; 12.7;-149.4;   2.8;  -5.1;DR8;Sloan;SDSS J154932.04+452135.3
238.41864;+45.10208; 71.724518; 49.715881;17.13; 1.23;-0.05;23.67; 0.24; 0.84; 8.46;20.3;20.2;  3.9;-12.4; 15.5;-220.2;   3.4; -74.4;DR8;Sloan;SDSS J155340.47+450607.4
239.36233;+45.73473; 72.491531; 48.948299;16.31; 1.07;-0.27;24.50; 0.23; 1.07; 9.68;13.9;14.6;  5.3; -8.7; 10.5;-255.0;   2.4;-106.5;DR8;Sloan;SDSS J155726.96+454405.0
239.97899;+45.64228; 72.237335; 48.540852;16.79; 1.14;-0.17;25.73; 0.24; 1.01;10.13;17.7;17.9;  4.4;-11.2; 13.3;-191.7;   2.7; -42.3;DR8;Sloan;SDSS J155954.96+453832.2
240.79634;+45.63947; 72.090233; 47.977848;15.94; 1.21;-0.06;23.08; 0.27; 0.84; 8.55;11.7;12.7;  5.6; -7.4;  8.7;   8.1;   2.4; 159.0;DR8;Sloan;SDSS J160311.11+453822.1
216.32860;+08.12452;356.757080; 60.763596;15.52; 1.20;-0.23;26.87; 0.22; 1.04;10.43; 9.9; 9.2;  3.2;  0.3;  8.6; -82.3;   1.9; -77.4;DR8;Sloan;SDSS J142518.86+080728.2
252.61171;+32.27153; 53.972836; 38.501396;16.38; 1.13;-0.23;26.11; 0.22; 1.05; 9.71;14.3;12.8;  1.4; -9.0;  8.9;-149.5;   1.8;   2.1;DR8;Sloan;SDSS J165026.81+321617.4
252.64270;+32.45175; 54.205345; 38.509136;16.60; 1.19;-0.05;23.72; 0.24; 0.84; 7.83;15.8;14.1;  0.8;-10.0;  9.9;-125.1;   1.8;  26.9;DR8;Sloan;SDSS J165034.25+322706.1
252.89484;+32.55025; 54.379044; 38.318356;16.05; 1.13;-0.08;22.48; 0.25; 0.86; 7.51;12.3;11.2;  2.4; -7.8;  7.6; -57.6;   1.5;  95.1;DR8;Sloan;SDSS J165134.76+323300.9
252.77425;+31.41706; 52.937729; 38.200985;17.38; 1.22;-0.18;28.12; 0.22; 1.01;10.10;23.2;20.7; -3.0;-14.6; 14.4; 114.5;   3.0; 264.9;DR8;Sloan;SDSS J165105.81+312501.4
252.38625;+32.25345; 53.904713; 38.685360;16.15; 1.21;-0.15;27.18; 0.21; 0.98; 9.84;13.2;11.9;  1.9; -8.3;  8.2; -33.8;   1.6; 117.3;DR8;Sloan;SDSS J164932.70+321512.4
252.58356;+32.14343; 53.806347; 38.500774;17.11; 1.24;-0.17;26.91; 0.20; 0.97; 9.72;20.5;18.2; -1.5;-13.0; 12.8;-114.4;   2.2;  36.9;DR8;Sloan;SDSS J165020.05+320836.3
252.09529;+32.72682; 54.445362; 39.012486;17.16; 1.16;-0.25;27.31; 0.22; 1.09; 9.96;20.5;18.3; -1.2;-12.9; 12.9;-294.5;   2.7;-143.1;DR8;Sloan;SDSS J164822.86+324336.5
252.24095;+31.53880; 52.975925; 38.670856;15.93; 1.20;-0.10;26.36; 0.23; 0.93; 9.05;11.9;10.8;  2.4; -7.4;  7.4;-234.0;   1.5; -84.4;DR8;Sloan;SDSS J164857.82+313219.7
252.06485;+31.59240; 53.006195; 38.828426;18.56; 1.04;-0.01;25.99; 0.29; 0.79; 8.17;39.1;36.0;-10.3;-24.3; 24.5;   9.5;   6.6; 158.8;DR8;Sloan;SDSS J164815.56+313532.6
251.72391;+31.84117; 53.249847; 39.160313;15.93; 1.19;-0.09;24.64; 0.24; 0.83; 8.10;11.9;10.8;  2.5; -7.4;  7.5;-139.9;   1.4;   9.2;DR8;Sloan;SDSS J164653.73+315028.2
251.32278;+32.77213; 54.357029; 39.660183;17.14; 1.21;-0.16;26.39; 0.23; 0.90; 9.07;20.8;18.6; -1.3;-13.0; 13.3; -36.5;   2.3; 113.5;DR8;Sloan;SDSS J164517.46+324619.6
249.99333;+31.93201; 53.021801; 40.622089;17.30; 1.17;-0.22;26.12; 0.22; 1.04; 9.68;22.4;20.0; -2.2;-13.6; 14.6;-141.5;   3.0;   4.3;DR8;Sloan;SDSS J163958.39+315555.2
215.59457;+07.79404;355.228485; 61.055820;18.50; 1.25;-0.01;19.71; 0.29; 1.14; 9.90;38.0;34.9;-10.3;  1.5; 33.3;   0.0;   7.9;   2.1;DR8;Sloan;SDSS J142222.69+074738.6
214.49652;+09.80340;356.711090; 63.231987;15.53; 1.10;-0.25;25.06; 0.22; 1.11; 9.79; 9.7; 9.4;  3.6;  0.2;  8.6; -97.4;   1.8; -92.3;DR8;Sloan;SDSS J141759.16+094812.2
214.32246;+09.00641;355.182831; 62.803104;17.73; 1.22;-0.15;26.08; 0.19; 0.99; 9.60;27.2;24.6; -4.4;  1.0; 24.2; -78.2;   4.3; -75.9;DR8;Sloan;SDSS J141717.39+090023.0
214.87639;+10.04370;357.665375; 63.120960;15.81; 1.20;-0.23;27.13; 0.22; 1.07;10.11;11.3;10.5;  2.9;  0.2; 10.1; -43.7;   2.1; -36.9;DR8;Sloan;SDSS J141930.33+100237.3
214.89217;+09.49150;356.798767; 62.734154;16.05; 1.15;-0.19;26.04; 0.22; 1.07; 9.72;12.6;11.4;  2.3;  0.3; 11.2;  40.3;   2.1;  45.5;DR8;Sloan;SDSS J141934.12+092929.4
213.77895;+09.27565;354.771667; 63.373917;18.93; 1.20;-0.14;26.53; 0.13; 0.97;10.32;47.5;44.5;-13.2;  1.9; 42.5; -36.8;   9.2; -35.1;DR8;Sloan;SDSS J141506.94+091632.3
213.77232;+08.44897;353.479584; 62.789680;18.66; 1.18;-0.10;24.42; 0.29; 0.90; 9.61;41.8;38.9;-11.0;  2.2; 37.2;-144.4;   8.2;-145.1;DR8;Sloan;SDSS J141505.35+082656.2
243.27843;+37.91705; 60.520172; 46.683548;16.36; 1.14;-0.22;25.11; 0.23; 1.00; 9.93;14.2;13.7;  3.2; -8.5; 10.3;-286.8;   2.3;-143.7;DR8;Sloan;SDSS J161306.81+375501.3
243.22606;+38.35021; 61.151073; 46.729973;19.16; 1.20;-0.19;24.60; 0.11; 0.87; 8.74;52.8;50.7; -9.5;-31.7; 38.4;-165.1;  13.1; -21.3;DR8;Sloan;SDSS J161254.25+382100.7
243.04904;+38.38022; 61.193573; 46.868965;16.02; 0.90;-0.30;21.07; 0.26; 1.18; 8.71;11.1;11.3;  4.4; -6.6;  8.1; -25.7;   2.2; 117.8;DR8;Sloan;SDSS J161211.76+382248.8
