#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-09T15:11:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5dee63311dd8	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_Glon,_Glat
#-nav=cat:J/ApJ/784/170&tab:{J/ApJ/784/170/table4}&key:source=J/ApJ/784/170/table4&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/784/170/table4
#-order=I
#-out=SDSS
#SDSS=DR9
#-out=RAJ2000
#-out=DEJ2000
#-out=rmag
#-out=g-r
#-out=HRV
#-out=Teff
#-out=[Fe/H]
#-out=logg
#-out=DMpeak
#-out=rMag
#-out=Dist
#-out=Rgc
#-out=pRGB
#-out=Sloan
#Sloan=Sloan
#-out=SimbadName
#

#RESOURCE=yCat_17840170
#Name: J/ApJ/784/170
#Title: The SEGUE K giant survey. II. Distances of 6036 stars (Xue+, 2014)
#Coosys	G:	galactic
#Table	J_ApJ_784_170_table4:
#Name: J/ApJ/784/170/table4
#Title: List of 6036 K giants selected from SDSS DR9
#Column	_Glon	(F10.6)	Galactic longitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lon]
#Column	_Glat	(F10.6)	Galactic latitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lat]
#Column	SDSS	(A3)	Display the photometric data from SDSS DR9 (cat. V/139)	[ucd=meta.ref.url]
#Column	RAJ2000	(F8.4)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	rmag	(F6.3)	[13.8/19.6] Extinction-corrected r band magnitude (r_0_)	[ucd=phot.mag;em.opt.R]
#Column	g-r	(F6.3)	[0.5/1.3] The (g-r) color index after extinction correction (g-r)_0_	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	HRV	(F6.1)	[-506.5/419.4] Heliocentic radial velocity	[ucd=spect.dopplerVeloc]
#Column	Teff	(I4)	[4025/5691] Effective temperature (SSPP) (2)	[ucd=phys.temperature.effective]
#Column	[Fe/H]	(F5.2)	[-3.6/0.32] Metallicity (SSPP) (2)	[ucd=phys.abund.Z]
#Column	logg	(F5.2)	[0.18/3.5] Log of the surface gravity (SSPP) (2)	[ucd=phys.gravity]
#Column	DMpeak	(F5.2)	[13.1/20.4] Distance modulus at peak of distance modulus likelihood (DM_peak_) (4)	[ucd=phot.mag.distMod]
#Column	rMag	(F5.2)	[-3.2/1.2] Absolute magnitude in r band (M_r_) (6)	[ucd=phys.magAbs]
#Column	Dist	(F6.2)	[4.2/120.3] Distance to Sun (d) (6)	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F6.2)	[4.79/125.1] Distance to Galactic center (r_GC_) (6)	[ucd=pos.distance]
#Column	pRGB	(F5.2)	[0.45/1] Chance of being clearly on the Red-Giant Branch (RGB), above the level of the Horizontal Branch (HB) (P_aboveHB_) (7)	[ucd=stat.fit.goodness]
#Column	Sloan	(a5)	Display the online SDSS data for the nearest object	[ucd=meta.ref.url]
#Column	SimbadName	(a27)	Simbad column added by the CDS	[ucd=meta.id]
_Glon;_Glat;SDSS;RAJ2000;DEJ2000;rmag;g-r;HRV;Teff;[Fe/H];logg;DMpeak;rMag;Dist;Rgc;pRGB;Sloan;SimbadName
317.290699;+65.321373;DR9;198.8116;+03.1155;15.660; 1.217;  29.2;4101;-1.35; 0.58;18.30;-2.64; 45.70; 43.92; 1.00;Sloan;SDSS J131514.78+030655.8
322.436662;+63.734088;DR9;201.3625;+02.1578;16.384; 1.210;  50.2;4471;-0.70; 1.08;17.86;-1.48; 37.33; 35.33; 1.00;Sloan;SDSS J132527.01+020928.1
318.183567;+65.278569;DR9;199.1852;+03.1588;15.800; 1.198;  63.7;4444;-1.11; 0.96;18.19;-2.39; 43.46; 41.67; 1.00;Sloan;CRTS J131644.4+030932
321.686909;+64.064668;DR9;200.9502;+02.3777;16.494; 1.134;  49.9;4508;-0.38; 1.70;17.51;-1.02; 31.77; 29.98; 1.00;Sloan;SDSS J132348.03+022239.8
328.716489;+62.566650;DR9;204.4276;+02.0344;15.667; 1.274;  38.9;4086;-1.48; 0.42;18.55;-2.88; 51.18; 48.59; 1.00;Sloan;SDSS J133742.61+020203.6
332.120874;+63.320784;DR9;205.5302;+03.3583;16.737; 1.079;  43.5;4642;-0.55; 2.23;17.81;-1.07; 36.46; 34.09; 1.00;Sloan;SDSS J134207.24+032129.8
332.992594;+61.157511;DR9;206.8486;+01.5949;16.106; 1.251;  23.8;4098;-1.00; 0.61;18.45;-2.35; 49.04; 46.17; 1.00;Sloan;SDSS J134723.64+013541.6
336.341259;+62.238739;DR9;207.7454;+03.2936;15.679; 1.279;  39.7;4077;-1.42; 0.23;18.51;-2.83; 50.25; 47.39; 1.00;Sloan;SDSS J135058.89+031736.7
336.780904;+61.451010;DR9;208.3154;+02.7109;15.836; 1.248;  48.2;4053;-1.34; 0.48;18.53;-2.69; 50.82; 47.85; 1.00;Sloan;SDSS J135315.69+024239.2
339.093239;+59.131809;DR9;210.4864;+01.3028;16.316; 1.104;  27.0;4414;-1.21; 1.35;18.57;-2.25; 51.74; 48.42; 1.00;Sloan;SDSS J140156.74+011809.7
343.645859;+60.041544;DR9;211.9029;+03.3358;16.249; 1.273;  24.2;4046;-0.48; 0.80;17.59;-1.34; 32.96; 29.96; 1.00;Sloan;SDSS J140736.68+032008.5
344.105744;+59.140176;DR9;212.6193;+02.7401;15.701; 1.264;   4.0;4065;-1.04; 0.42;18.14;-2.44; 42.46; 39.14; 1.00;Sloan;SDSS J141028.63+024424.3
346.942961;+56.580788;DR9;215.3678;+01.6079;15.801; 1.284;  51.0;4051;-1.45; 0.18;18.67;-2.87; 54.11; 50.27; 1.00;Sloan;SDSS J142128.27+013628.3
342.764902;+61.488971;DR9;210.7142;+04.2703;15.892; 1.142;  30.2;4411;-0.57; 0.61;17.08;-1.19; 26.11; 23.57; 1.00;Sloan;SDSS J140251.39+041613.2
346.470538;+59.667192;DR9;213.2662;+03.8843;16.040; 1.177;  -5.1;4412;-1.10; 0.89;18.37;-2.33; 47.11; 43.74; 1.00;Sloan;SDSS J141303.89+035303.4
357.667381;+55.328245;DR9;220.6396;+04.7440;16.054; 1.273;  41.3;4049;-0.65; 0.25;17.57;-1.51; 32.60; 28.82; 1.00;Sloan;SDSS J144233.48+044438.5
359.182929;+53.468221;DR9;222.6113;+04.1330;15.670; 1.259;   4.3;4060;-1.39; 0.29;18.43;-2.76; 48.56; 44.26; 1.00;Sloan;SDSS J145026.71+040758.6
000.898671;+53.143976;DR9;223.5357;+04.6868;17.155; 0.912;  18.8;5691;-0.99; 1.39;18.43;-1.27; 48.42; 44.09; 1.00;Sloan;SDSS J145408.57+044112.5
113.695678;+53.820840;DR9;204.6808;+62.4513;17.620; 0.546; -83.2;5262;-2.77; 1.75;17.23; 0.39; 27.92; 30.81; 0.71;Sloan;SDSS J133843.35+622704.3
085.681310;+49.632323;DR9;234.3679;+53.7318;16.757; 0.665;-216.4;4962;-1.37; 2.07;16.77;-0.02; 22.64; 23.64; 0.97;Sloan;SDSS J153728.26+534354.4
070.985448;+43.773310;DR9;246.8833;+45.3634;16.439; 1.279;-101.0;4035;-1.00; 0.43;18.84;-2.40; 58.60; 57.25; 1.00;Sloan;SDSS J162731.95+452148.1
040.127540;-29.302607;DR9;312.1530;-07.2359;17.689; 0.631;-112.3;5222;-1.34; 2.63;17.32; 0.37; 29.14; 24.54; 0.79;Sloan;SDSS J204836.70-071409.1
040.087648;-27.953253;DR9;310.9277;-06.6506;15.923; 0.567;-275.2;5030;-2.05; 1.79;15.70; 0.23; 13.79; 10.25; 0.93;Sloan;SDSS J204342.61-063902.2
120.958466;-73.824467;DR9;012.2996;-10.9613;18.340; 0.901; -20.6;4976;-0.32; 2.58;18.21; 0.13; 43.78; 45.62; 0.76;Sloan;SDSS J004911.89-105740.9
184.954571;-44.368914;DR9;052.0160;-01.1688;18.150; 0.881;  64.0;5000;-0.87; 2.33;19.24;-1.09; 70.62; 76.52; 1.00;Sloan;SDSS J032803.84-011007.8
077.680952;+48.393521;DR9;239.0544;+49.1994;17.377; 0.539; -89.1;5514;-1.93; 3.24;16.50; 0.87; 19.99; 20.46; 0.57;Sloan;SDSS J155613.00+491157.6
348.411407;+50.681396;DR9;219.7438;-02.4438;16.669; 1.019;  74.4;4630;-0.58; 1.45;17.47;-0.80; 31.14; 26.92; 1.00;Sloan;SDSS J143858.48-022637.9
157.736889;+47.984621;DR9;149.9247;+55.8842;17.158; 0.558;-214.7;5054;-2.45; 1.48;17.04; 0.12; 25.54; 31.13; 0.88;Sloan;SDSS J095941.93+555302.9
110.346597;+57.276418;DR9;205.9100;+58.5581;17.332; 0.526;-109.0;5307;-2.61; 2.21;16.73; 0.60; 22.20; 24.97; 0.49;Sloan;SDSS J134338.37+583328.9
048.792194;-28.604032;DR9;315.2372;-00.2729;17.752; 0.556;-113.3;5433;-2.40; 3.16;17.45; 0.31; 30.86; 27.03; 0.76;Sloan;SDSS J210056.90-001622.3
050.496501;-32.383861;DR9;319.2271;-00.9975;16.558; 0.663;  -0.8;4918;-1.03; 2.03;16.28; 0.27; 18.07; 15.33; 0.64;Sloan;SDSS J211654.48-005950.9
097.023343;+61.400251;DR9;212.5312;+51.5872;15.839; 0.629; -25.4;4953;-1.49; 1.91;15.68; 0.16; 13.65; 16.22; 0.95;Sloan;SDSS J141007.46+513513.7
189.871416;+27.999230;DR9;120.6132;+31.4580;16.135; 0.670; -11.5;4977;-1.94; 1.62;17.01;-0.88; 25.26; 32.46; 1.00;Sloan;SDSS J080227.16+312728.8
184.127298;-41.864851;DR9;053.6011;+00.8616;16.533; 0.713; 181.0;4855;-1.35; 1.68;17.00;-0.47; 25.17; 31.57; 1.00;Sloan;SDSS J033424.26+005142.0
181.747993;-45.452743;DR9;049.7393;-00.0974;16.398; 1.016;-125.0;4593;-0.37; 2.29;16.91;-0.51; 24.04; 30.20; 1.00;Sloan;SDSS J031857.43-000550.5
179.229185;-48.189931;DR9;046.5459;-00.6100;16.000; 0.992;-152.4;4607;-0.49; 2.02;16.60;-0.60; 20.90; 26.91; 1.00;Sloan;SDSS J030611.03-003636.1
176.114174;-50.563259;DR9;043.4283;-00.7663;17.607; 0.544;  27.0;5320;-2.12; 1.65;16.93; 0.68; 24.34; 30.06; 0.69;Sloan;SDSS J025342.81-004558.3
174.144285;-49.259199;DR9;043.4434;+01.0528;17.072; 0.639; 140.0;5235;-1.30; 2.27;16.80; 0.28; 22.87; 28.71; 0.81;Sloan;SDSS J025346.42+010309.9
169.321832;-54.353520;DR9;037.8203;-00.7331;16.907; 0.753;-158.7;4840;-0.87; 2.12;17.08;-0.17; 26.07; 31.34; 0.90;Sloan;SDSS J023116.86-004359.3
167.806192;-55.133696;DR9;036.6489;-00.7783;17.315; 0.675;-153.8;5022;-0.98; 2.39;17.03; 0.29; 25.46; 30.66; 0.60;Sloan;SDSS J022635.74-004641.9
164.427189;-56.166904;DR9;034.5077;-00.4364;16.992; 0.817;-146.3;4829;-0.43; 2.17;16.72; 0.27; 22.07; 27.21; 0.56;Sloan;SDSS J021801.85-002611.1
164.359921;-54.748420;DR9;035.3128;+00.7321;17.219; 0.665;-155.5;5015;-1.44; 1.89;17.36;-0.15; 29.71; 34.80; 0.98;Sloan;SDSS J022115.06+004355.4
165.059758;-56.631649;DR9;034.5137;-01.0182;15.915; 0.585;-180.7;5138;-1.46; 2.11;15.12; 0.80; 10.56; 16.29; 0.59;Sloan;SDSS J021803.29-010105.6
164.549119;-56.432988;DR9;034.4052;-00.6911;18.053; 0.691;-134.0;4731;-0.94; 2.46;17.89; 0.16; 37.81; 42.62; 0.60;Sloan;SDSS J021737.25-004128.0
162.780537;-55.472843;DR9;034.1567;+00.6655;16.586; 0.598;-139.8;5101;-1.75; 1.68;16.35; 0.23; 18.64; 23.93; 0.96;Sloan;SDSS J021637.60+003956.1
160.635974;-58.007560;DR9;031.7676;-00.7832;16.373; 1.036;-138.1;4535;-0.34; 1.92;16.96;-0.59; 24.66; 29.48; 1.00;Sloan;SDSS J020704.23-004659.2
160.570672;-56.954927;DR9;032.3107;+00.1192;16.348; 0.719;-149.1;4796;-1.46; 1.65;17.02;-0.67; 25.36; 30.26; 1.00;Sloan;SDSS J020914.57+000709.1
161.185752;-56.686551;DR9;032.7393;+00.1596;16.862; 0.799;-140.5;4730;-0.76; 1.92;17.06;-0.20; 25.79; 30.72; 0.98;Sloan;SDSS J021057.43+000934.6
151.533956;-60.087468;DR9;026.6712;-00.3200;15.728; 0.845;-170.4;4912;-0.72; 2.07;16.06;-0.33; 16.31; 21.08; 1.00;Sloan;SDSS J014641.09-001912.0
145.755052;-61.656642;DR9;023.4719;-00.6804;15.391; 1.040;-147.8;4373;-0.89; 0.83;17.03;-1.64; 25.51; 29.58; 1.00;Sloan;SDSS J013353.26-004049.2
141.639735;-62.236754;DR9;021.4526;-00.6200;17.073; 0.585;-205.4;5217;-1.49; 2.25;16.37; 0.70; 18.80; 22.96; 0.65;Sloan;SDSS J012548.61-003712.2
141.512011;-60.564532;DR9;021.8698;+01.0005;16.074; 0.773;-164.7;4761;-1.32; 1.63;17.02;-0.95; 25.35; 29.37; 1.00;Sloan;SDSS J012728.75+010002.1
138.268987;-60.797240;DR9;020.2757;+01.1881;16.718; 0.753;-169.0;4949;-0.63; 2.27;16.31; 0.41; 18.31; 22.49; 0.54;Sloan;SDSS J012106.16+011117.4
126.212628;-63.927613;DR9;014.3010;-01.0926;16.304; 0.642;-169.6;5072;-1.40; 2.00;16.18; 0.12; 17.22; 20.78; 0.95;Sloan;SDSS J005712.23-010533.4
100.826916;-62.208039;DR9;002.7524;-01.0840;16.512; 0.688; -93.9;5008;-0.93; 2.18;16.27; 0.24; 17.95; 20.28; 0.63;Sloan;SDSS J001100.57-010502.2
099.381306;-60.953762;DR9;001.6736;-00.1445;17.265; 0.614;-191.4;5053;-1.62; 2.24;17.03; 0.23; 25.49; 27.31; 0.94;Sloan;SDSS J000641.66-000840.2
099.183910;-59.714294;DR9;001.1398;+00.9784;17.772; 0.582;-162.8;4867;-1.48; 1.94;17.03; 0.74; 25.44; 27.28; 0.58;Sloan;SDSS J000433.54+005842.0
092.557233;-59.668807;DR9;358.0647;-00.3334;17.824; 0.672;-283.3;5082;-1.34; 2.22;17.95;-0.12; 38.86; 39.85; 0.97;Sloan;SDSS J235215.50-002000.2
054.732538;-38.107018;DR9;325.9101;-01.2221;15.542; 0.648; -20.6;5048;-1.23; 1.66;15.25; 0.30; 11.20; 10.39; 0.86;Sloan;SDSS J214338.42-011319.5
050.261047;-28.247107;DR9;315.6071;+01.0152;16.296; 0.805;-280.1;4788;-0.95; 2.00;16.91;-0.62; 24.14; 20.72; 1.00;Sloan;SDSS J210225.66+010054.9
047.075697;-25.979841;DR9;312.2021;-00.2434;17.610; 0.562;-276.1;5058;-2.25; 1.74;17.46; 0.15; 31.04; 26.89; 0.94;Sloan;SDSS J204848.49-001436.0
044.937766;-23.987583;DR9;309.5090;-00.9303;17.990; 0.625;-142.2;5158;-1.59; 2.32;17.84; 0.15; 37.04; 32.45; 0.95;Sloan;SDSS J203802.13-005549.0
046.636339;-24.242839;DR9;310.5012;+00.2880;17.080; 0.816;-136.7;4726;-1.12; 1.44;17.97;-0.89; 39.34; 34.89; 1.00;Sloan;SDSS J204200.25+001716.7
105.908920;-61.927142;DR9;004.9407;-00.1068;16.466; 0.803;-163.5;4862;-0.57; 2.23;16.24; 0.23; 17.70; 20.35; 0.80;Sloan;SDSS J001945.76-000624.8
105.740749;-61.011683;DR9;004.6235;+00.7557;17.516; 1.120;-224.6;4599;-1.46; 0.30;20.02;-2.50;100.80;102.16; 1.00;Sloan;SDSS J001829.62+004520.4
119.989985;-62.388500;DR9;011.4964;+00.4521;17.184; 0.703;-172.1;4871;-0.93; 1.99;17.09; 0.09; 26.18; 29.10; 0.72;Sloan;SDSS J004559.13+002707.7
114.230910;-63.612090;DR9;009.0037;-01.0012;15.482; 0.634;-171.2;5013;-1.20; 2.19;15.05; 0.44; 10.21; 14.08; 0.66;Sloan;SDSS J003600.88-010004.2
116.698695;-62.965226;DR9;010.0307;-00.2305;17.342; 0.644;-155.3;5023;-1.32; 1.68;17.16; 0.18; 27.01; 29.69; 0.85;Sloan;SDSS J004007.36-001349.6
113.202307;-61.397426;DR9;008.2180;+01.1231;16.791; 0.801;-171.3;4985;-0.49; 2.48;16.45; 0.34; 19.49; 22.42; 0.56;Sloan;SDSS J003252.31+010723.1
112.800323;-62.171430;DR9;008.1490;+00.3291;17.742; 0.697;-164.2;4824;-1.76; 1.15;18.44;-0.70; 48.80; 50.86; 1.00;Sloan;SDSS J003235.75+001944.8
113.492363;-61.514865;DR9;008.3725;+01.0275;16.671; 0.636;-163.3;4915;-1.15; 2.34;16.25; 0.42; 17.76; 20.82; 0.60;Sloan;SDSS J003329.40+010138.8
114.577180;-61.588007;DR9;008.8945;+01.0262;15.298; 0.658;-274.1;5012;-1.91; 2.00;16.03;-0.73; 16.07; 19.31; 1.00;Sloan;SDSS J003534.67+010134.4
115.845089;-63.102005;DR9;009.6598;-00.4065;16.585; 0.662;  -8.1;4824;-1.52; 1.81;16.78;-0.20; 22.70; 25.51; 1.00;Sloan;SDSS J003838.34-002423.2
114.842369;-63.743039;DR9;009.2896;-01.0958;17.630; 0.529;-144.9;5449;-2.97; 3.14;16.95; 0.68; 24.51; 27.16; 0.56;Sloan;SDSS J003709.49-010545.0
113.679952;-62.862567;DR9;008.6539;-00.2934;15.565; 0.756;-186.1;4761;-1.54; 1.54;16.61;-1.05; 21.02; 23.82; 1.00;Sloan;SDSS J003436.92-001736.2
111.511859;-62.534627;DR9;007.6199;-00.1285;17.314; 0.695;-162.7;4857;-1.09; 2.19;17.43;-0.12; 30.61; 32.92; 0.89;Sloan;SDSS J003028.77-000742.5
112.906071;-62.246526;DR9;008.2094;+00.2626;18.383; 0.609; -77.2;5038;-1.35; 2.48;17.79; 0.59; 36.12; 38.39; 0.65;Sloan;SDSS J003250.25+001545.4
115.037268;-62.242254;DR9;009.1917;+00.4044;18.006; 0.696;-152.8;4907;-1.44; 1.70;18.45;-0.44; 48.89; 51.07; 0.99;Sloan;SDSS J003646.00+002415.7
062.169318;-45.565904;DR9;335.1949;-01.2189;15.703; 0.685;-199.0;5046;-1.24; 2.25;15.79;-0.08; 14.37; 13.98; 0.98;Sloan;SDSS J222046.78-011308.1
062.653772;-44.813777;DR9;334.8279;-00.4789;16.371; 0.639; -78.7;4970;-2.16; 1.48;17.11;-0.74; 26.42; 24.99; 1.00;Sloan;SDSS J221918.70-002844.1
064.645348;-44.428675;DR9;335.4460;+00.8536;18.425; 0.660;-110.7;5157;-1.10; 3.27;18.07; 0.35; 41.12; 39.42; 0.63;Sloan;SDSS J222147.02+005112.9
065.093020;-44.840118;DR9;335.9656;+00.8246;15.523; 0.635;-171.2;4977;-2.68; 1.49;16.35;-0.83; 18.63; 17.95; 1.00;Sloan;SDSS J222351.74+004928.5
065.410131;-45.095008;DR9;336.3052;+00.8254;15.485; 0.578; -65.7;5180;-1.63; 2.39;14.84; 0.65;  9.28; 10.32; 0.75;Sloan;SDSS J222513.24+004931.4
062.556244;-45.547133;DR9;335.3515;-00.9970;16.353; 0.617; -53.0;5135;-1.25; 2.54;15.81; 0.55; 14.50; 14.12; 0.60;Sloan;SDSS J222124.33-005949.3
063.596436;-45.617528;DR9;335.8705;-00.4816;15.353; 0.601;-107.1;4983;-1.51; 2.00;14.87; 0.48;  9.42; 10.29; 0.83;Sloan;SDSS J222328.90-002854.0
062.768539;-45.743392;DR9;335.5974;-01.0068;15.806; 0.809;-106.5;4696;-1.08; 1.81;16.60;-0.79; 20.86; 19.81; 1.00;Sloan;SDSS J222223.36-010024.6
